TICK:145 | ORBIT:1 | TEMP:-17 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:146 | ORBIT:1 | TEMP:-16 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:147 | ORBIT:1 | TEMP:-16 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:148 | ORBIT:1 | TEMP:-16 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:149 | ORBIT:1 | TEMP:-15 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:150 | ORBIT:1 | TEMP:-15 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:151 | ORBIT:2 | TEMP:-14 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:152 | ORBIT:2 | TEMP:-14 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:153 | ORBIT:2 | TEMP:-13 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:154 | ORBIT:2 | TEMP:-12 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:155 | ORBIT:2 | TEMP:-12 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:156 | ORBIT:2 | TEMP:-11 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:157 | ORBIT:2 | TEMP:-10 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:158 | ORBIT:2 | TEMP:-10 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:159 | ORBIT:2 | TEMP:-9 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:160 | ORBIT:2 | TEMP:-8 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:161 | ORBIT:2 | TEMP:-7 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:162 | ORBIT:2 | TEMP:-6 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:163 | ORBIT:2 | TEMP:-5 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:164 | ORBIT:2 | TEMP:-4 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:165 | ORBIT:2 | TEMP:-3 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:166 | ORBIT:2 | TEMP:-2 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:167 | ORBIT:2 | TEMP:-1 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:168 | ORBIT:2 | TEMP:0 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:169 | ORBIT:2 | TEMP:0 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:170 | ORBIT:2 | TEMP:1 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:171 | ORBIT:2 | TEMP:2 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:172 | ORBIT:2 | TEMP:3 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:173 | ORBIT:2 | TEMP:4 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:174 | ORBIT:2 | TEMP:5 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:175 | ORBIT:2 | TEMP:6 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:176 | ORBIT:2 | TEMP:7 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:177 | ORBIT:2 | TEMP:8 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
